x,Curve1
427.4,21.9015
520.4,20.1169
700,19.4388
867.3,18.2078
1077.9,18.508
1238.9,17.4895
1393.8,17.6615
1468.1,17.4073
1567.3,17.1959
1715.9,17.1552
1852.2,16.9868
1982.3,16.6057
2137.2,16.7777
2223.9,16.4811
2329.2,16.0147
2422.1,15.8032
2515,15.8044
2608,16.2307
2738.1,16.1047
2849.6,16.0635
2967.3,16.065
3103.5,15.9816
3202.7,15.6001
3388.5,15.5174
3549.6,15.5193
3716.8,15.3513
3902.7,15.1835
4020.4,15.0999
4150.4,15.0589
4286.7,15.0606
4392,15.1044
4491.2,15.0631
4608.8,15.022
4689.4,14.7253
4813.3,14.9819
4992.9,15.1117
5172.6,15.0713
5315,14.903
5476.1,14.7349
5668.1,14.5246
5878.8,14.6973
6021.2,14.5289
6200.9,14.4036
6374.3,14.3631
6566.4,14.2379
6764.6,14.1128
